Title,published_date,Views,Comments,Likes
Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06T13:00:07Z,135103,624,3591
Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03T13:00:12Z,209032,173,5221
When Data Science Goes Wrong,2020-03-30T13:00:06Z,1826,30,106
How to ULTRALEARN Data Science,2020-03-27T13:00:02Z,62273,168,3812
Why Right NOW is a Great Time to Learn Data Science,2020-03-23T13:00:30Z,4496,50,267
Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20T13:00:22Z,13787,45,475
The Secret Data Scientists Don't Want You to Know,2020-03-16T13:00:23Z,10938,102,1143
The 5 Stages of Learning Data Science,2020-03-13T13:00:26Z,17667,72,1296
Can You Learn Data Science Without a Computer?,2020-03-11T13:00:03Z,1942,14,132
The Best Free Data Science Courses Nobody is Talking About,2020-03-09T13:00:04Z,349829,619,21222
The Data Science Projects that Got Me a Job,2020-03-06T14:00:11Z,41598,41,1398
How to Integrate Data Science into Your Business,2020-03-02T14:00:01Z,3432,16,128
The Problem with Data Science,2020-02-28T14:00:07Z,3824,18,153
How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24T14:00:00Z,1206,16,45
How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21T14:00:02Z,139239,96,2578
3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17T14:00:04Z,333799,527,17971
Data Science Advice for College Students,2020-02-14T17:22:37Z,69207,195,1964
Avoid These Data Science Resume Mistakes!,2020-02-10T15:52:59Z,28893,62,1249
Data Science Explained with ... Cooking?,2020-02-07T15:56:55Z,5514,48,317
The 4 Types of Sports Analytics Projects,2020-02-03T16:35:19Z,33381,62,1081
Data Science in Golf: PGA Merchandise Show 2020,2020-01-31T18:50:23Z,618,13,18
How I Learned Data Science,2020-01-27T14:41:18Z,94438,210,2686
What is Sports Analytics Really?,2020-01-20T14:00:00Z,22554,75,634
Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18T01:03:08Z,112919,575,3157
How To Learn Programming for Data Science [3 Steps],2020-01-13T16:48:44Z,30224,96,1981
Data Science Fundamentals: SQL Queries,2020-01-10T19:15:01Z,6826,35,220
Questions You Should Ask Your Data Science Interviewers,2020-01-06T14:00:04Z,3180,14,150
The 9 Books That Changed My Perspective in 2019,2020-01-03T14:45:28Z,3408,25,177
The Data Science Interview: What to Expect,2019-12-30T14:00:01Z,8718,32,382
5 Data Science Resolutions for 2020,2019-12-27T14:00:07Z,478,12,25
How to Scrape NBA Data Using the nba_api Python Module,2019-12-23T12:59:47Z,18437,95,638
Collision Course: Sports Betting + Data Science,2019-12-20T14:00:02Z,20096,27,537
3 Reasons You Should NOT Become a Data Scientist,2019-12-16T18:46:58Z,101048,204,2919
5 Sports Analytics Books to Get You Started,2019-12-13T14:00:01Z,11574,60,433
Math Needed for Mastering Data Science,2019-12-09T14:00:15Z,58247,220,2903
The 5 Stages of Data Science Adoption,2019-12-06T14:00:04Z,1349,17,68
How YOU Can Land a Sports Analytics Job,2019-12-02T14:00:05Z,72857,232,3178
Data Science Fundamentals: Linear Regression,2019-11-29T14:00:02Z,6500,42,174
Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25T14:00:11Z,1217,12,55
Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22T14:00:06Z,6727,26,283
9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18T15:34:12Z,46758,79,1762
Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11T21:12:11Z,5992,31,139
Why Selling Is An Important Data Science Skill,2019-11-04T14:57:00Z,1667,13,81
By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21T16:38:58Z,3011,18,71
Why is Balance Important in Data Science?,2019-10-16T17:40:34Z,721,13,32
How to Stay Productive & Motivated When Learning Data Science,2019-09-29T00:29:59Z,12074,55,583
How Far Should the NBA 3-Point Line Actually Be?,2019-09-21T23:04:57Z,4250,35,119
6 Habits of Successful Data Scientists,2019-09-13T04:40:51Z,2276,17,98
How To Build A Word Cloud From Scraped Data (Python),2019-09-04T01:32:06Z,5074,10,106
Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26T12:42:32Z,525,29,24
Is Data Science Right For You?,2019-08-18T16:54:05Z,52456,109,1193
Data Science Fundamentals: Data Cleaning in Python,2019-08-11T20:50:23Z,15294,55,397
